YY MM DD hh WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS
1992 01 02 15 057 07.1 08.6 02.60 14.30 10.20 999 1012.6 15.0 14.4 999.0 99.0
1992 01 02 16 079 07.0 08.4 02.50 14.30 09.80 999 1013.1 15.7 14.8 999.0 99.0
1992 01 02 17 074 06.2 07.9 02.60 14.30 10.40 999 1013.8 15.5 14.7 999.0 99.0
1992 01 02 18 084 05.7 07.0 02.30 14.30 09.80 999 1013.9 15.5 14.8 999.0 99.0
1992 01 02 19 096 06.1 07.9 02.30 14.30 09.40 999 1013.5 15.7 14.8 999.0 99.0
1992 01 02 20 074 05.0 06.8 02.30 14.30 09.40 999 1012.3 15.4 14.8 999.0 99.0
1992 01 02 21 076 05.1 06.4 02.30 14.30 09.80 999 1011.1 15.5 14.8 999.0 99.0
1992 01 02 22 084 05.2 06.0 02.00 14.30 09.20 999 1010.5 15.6 14.8 999.0 99.0
1992 01 02 23 091 05.4 06.3 01.90 14.30 08.60 999 1010.0 15.5 14.8 999.0 99.0
1992 01 03 00 110 07.3 09.6 02.10 14.30 09.00 999 1010.1 15.7 14.7 999.0 99.0
1992 01 03 01 119 05.3 06.8 01.80 14.30 08.10 999 1011.1 15.2 14.7 999.0 99.0
1992 01 03 02 091 04.4 05.7 01.90 14.30 08.70 999 1010.7 13.9 14.7 999.0 99.0
1992 01 03 03 080 06.1 07.5 02.10 14.30 09.10 999 1010.6 12.6 14.7 999.0 99.0
1992 01 03 04 080 05.2 06.1 01.90 14.30 08.60 999 1010.5 12.5 14.7 999.0 99.0
1992 01 03 05 089 09.5 11.3 01.70 14.30 08.30 999 1010.1 12.4 14.7 999.0 99.0
1992 01 03 06 099 11.5 13.5 02.00 14.30 07.40 999 1009.7 13.3 14.7 999.0 99.0
1992 01 03 07 103 12.3 14.9 02.00 14.30 06.50 999 1009.3 13.4 14.8 999.0 99.0
1992 01 03 08 108 12.2 14.9 02.10 14.30 05.80 999 1008.7 13.8 14.8 999.0 99.0
1992 01 03 09 108 12.1 15.2 02.20 12.50 05.80 999 1008.8 13.5 14.8 999.0 99.0
1992 01 03 10 104 11.4 13.5 02.40 12.50 06.10 999 1008.4 13.4 14.8 999.0 99.0
1992 01 03 11 115 12.2 14.4 02.40 12.50 06.00 999 1007.8 13.5 14.9 999.0 99.0
1992 01 03 12 112 13.2 16.2 02.70 12.50 06.10 999 1006.9 13.6 14.8 999.0 99.0
1992 01 03 13 119 09.8 12.1 02.70 09.10 06.40 999 1006.6 14.2 14.8 999.0 99.0
1992 01 03 14 152 07.6 09.4 02.60 08.30 06.60 999 1007.4 14.8 14.7 999.0 99.0
1992 01 03 15 155 06.3 07.5 02.50 09.10 06.80 999 1007.8 14.8 14.7 999.0 99.0
1992 01 03 16 135 06.3 07.6 02.40 12.50 07.30 999 1008.0 14.8 14.6 999.0 99.0
1992 01 03 17 136 05.1 06.1 02.30 12.50 07.50 999 1008.5 15.0 14.7 999.0 99.0
1992 01 03 18 144 05.5 06.7 02.20 08.30 07.10 999 1009.2 15.1 14.7 999.0 99.0
1992 01 03 19 146 05.0 05.9 02.00 12.50 07.40 999 1009.1 15.2 14.7 999.0 99.0
1992 01 03 20 155 02.0 03.0 02.00 12.50 07.40 999 1008.6 14.4 14.7 999.0 99.0
1992 01 03 21 140 04.0 04.7 01.90 08.30 07.20 999 1007.8 15.3 14.8 999.0 99.0
1992 01 03 22 127 04.0 04.9 02.00 11.10 07.80 999 1007.7 15.3 14.9 999.0 99.0
1992 01 03 23 125 04.0 05.1 01.80 08.30 07.80 999 1007.8 15.1 14.9 999.0 99.0
1992 01 04 00 137 04.3 05.1 01.80 12.50 07.70 999 1008.3 15.1 14.9 999.0 99.0
1992 01 04 01 132 03.6 04.4 01.90 12.50 07.70 999 1008.8 15.1 14.8 999.0 99.0
