YY MM DD hh WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
2002 01 01 00 301 4.0 4.8 1.50 14.29 9.66 999 1019.2 13.3 13.8 999.0 99.0 99.00
2002 01 01 01 295 4.7 5.4 1.60 12.50 9.69 999 1019.5 13.0 13.7 999.0 99.0 99.00
2002 01 01 02 326 3.7 4.4 1.73 14.29 9.78 999 1019.4 13.0 13.6 999.0 99.0 99.00
2002 01 01 03 335 3.7 4.7 1.61 14.29 9.51 999 1019.4 12.8 13.6 999.0 99.0 99.00
2002 01 01 04 320 3.3 3.9 1.61 14.29 9.70 999 1019.9 12.3 13.5 999.0 99.0 99.00
2002 01 01 05 321 2.1 2.8 1.66 14.29 9.62 999 1019.8 12.2 13.5 999.0 99.0 99.00
2002 01 01 06 332 1.2 1.6 1.64 14.29 9.67 999 1019.6 12.0 13.5 999.0 99.0 99.00
2002 01 01 07 298 1.2 1.8 1.52 14.29 9.59 999 1019.7 12.1 13.6 999.0 99.0 99.00
2002 01 01 08 317 2.9 3.6 1.97 14.29 10.48 999 1019.7 12.2 13.6 999.0 99.0 99.00
2002 01 01 09 346 1.8 2.3 1.81 14.29 10.04 999 1019.5 12.4 13.5 999.0 99.0 99.00
2002 01 01 10 337 1.5 2.1 1.92 14.29 10.47 999 1019.3 12.6 13.6 999.0 99.0 99.00
2002 01 01 11 305 2.5 3.5 2.27 14.29 10.93 999 1019.1 12.7 13.6 999.0 99.0 99.00
2002 01 01 12 294 2.9 4.1 2.05 12.50 10.68 999 1018.7 12.5 13.6 999.0 99.0 99.00
2002 01 01 13 297 2.7 3.6 2.48 12.50 10.85 999 1018.7 12.5 13.6 999.0 99.0 99.00
2002 01 01 14 250 2.5 3.5 2.46 12.50 11.06 999 1018.8 12.6 13.5 999.0 99.0 99.00
2002 01 01 15 290 2.2 3.2 2.21 12.50 10.26 999 1019.3 12.7 13.6 999.0 99.0 99.00
2002 01 01 16 281 3.1 4.4 2.47 12.50 10.60 999 1019.8 12.8 13.6 999.0 99.0 99.00
2002 01 01 17 277 2.6 3.8 2.36 12.50 10.38 999 1020.5 13.0 13.6 999.0 99.0 99.00
2002 01 01 18 301 1.6 3.1 2.20 14.29 10.05 999 1020.5 12.8 13.7 999.0 99.0 99.00
2002 01 01 19 292 1.7 2.7 2.33 12.50 10.43 999 1020.2 12.9 13.8 999.0 99.0 99.00
2002 01 01 20 338 2.2 3.1 2.18 12.50 10.44 999 1019.6 13.0 13.8 999.0 99.0 99.00
2002 01 01 21 317 2.3 3.2 2.32 12.50 10.74 999 1018.9 13.2 14.0 999.0 99.0 99.00
2002 01 01 22 347 1.9 2.4 2.13 12.50 10.64 999 1018.7 13.0 14.0 999.0 99.0 99.00
2002 01 01 23 20 1.7 2.1 2.15 12.50 10.85 999 1018.8 12.8 14.2 999.0 99.0 99.00
2002 01 02 00 36 1.2 1.9 2.19 12.50 11.27 999 1019.4 12.5 14.2 999.0 99.0 99.00
2002 01 02 01 180 0.1 0.9 2.18 12.50 11.39 999 1019.7 12.6 14.2 999.0 99.0 99.00
2002 01 02 02 116 1.5 2.6 2.38 20.00 11.43 999 1019.6 12.7 14.2 999.0 99.0 99.00
2002 01 02 03 147 1.6 2.5 2.70 20.00 12.10 999 1019.8 12.9 14.0 999.0 99.0 99.00
2002 01 02 04 142 2.0 2.7 2.52 20.00 11.83 999 1019.7 13.0 13.9 999.0 99.0 99.00
2002 01 02 05 118 2.0 2.9 2.28 12.50 11.65 999 1020.0 13.1 13.9 999.0 99.0 99.00
2002 01 02 06 132 1.9 2.8 2.47 20.00 11.76 999 1019.7 13.0 13.9 999.0 99.0 99.00
2002 01 02 07 126 1.9 2.7 2.35 20.00 12.03 999 1019.2 13.3 13.9 999.0 99.0 99.00
2002 01 02 08 125 2.2 3.1 2.16 20.00 11.43 999 1018.8 13.4 14.0 999.0 99.0 99.00
2002 01 02 09 131 1.6 2.5 1.87 16.67 11.12 999 1018.8 13.5 14.0 999.0 99.0 99.00
2002 01 02 10 182 0.7 1.1 2.25 20.00 12.30 999 1019.1 13.8 14.1 999.0 99.0 99.00
2002 01 02 11 198 0.9 1.3 2.09 20.00 11.49 999 1018.8 14.0 14.2 999.0 99.0 99.00
2002 01 02 12 149 0.5 0.9 1.96 16.67 11.32 999 1018.2 14.0 13.7 999.0 99.0 99.00
2002 01 02 13 122 1.0 1.7 2.31 12.50 11.31 999 1018.2 14.0 13.8 999.0 99.0 99.00
2002 01 02 14 105 2.0 3.0 2.26 20.00 11.56 999 1018.7 13.8 13.6 999.0 99.0 99.00
2002 01 02 15 106 3.3 4.7 2.21 16.67 10.94 999 1019.1 13.6 13.6 999.0 99.0 99.00
