YY MM DD hh mm WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
yr mo dy hr mn degT m/s m/s m sec sec degT hPa degC degC degC mi ft
2014 05 14 01 50 325 2.8 3.6 99.00 99.00 99.00 999 1016.4 18.6 17.1 999.0 99.0 99.00
2014 05 14 02 50 321 2.5 2.9 1.00 13.79 6.68 190 1016.6 18.1 16.1 999.0 99.0 99.00
2014 05 14 03 50 332 3.5 3.9 1.04 13.79 6.73 191 1016.9 17.9 15.7 999.0 99.0 99.00
2014 05 14 04 50 342 4.9 5.7 1.09 12.90 6.80 172 1017.5 18.1 15.4 999.0 99.0 99.00
2014 05 14 05 50 345 5.4 6.2 1.05 12.90 6.89 178 1018.0 17.4 15.5 999.0 99.0 99.00
2014 05 14 06 50 352 6.1 7.1 1.13 13.79 7.12 203 1017.7 17.7 15.5 999.0 99.0 99.00
2014 05 14 07 50 349 5.9 6.7 0.95 13.79 6.18 165 1017.5 17.4 15.4 999.0 99.0 99.00
2014 05 14 08 50 344 5.8 6.6 0.98 13.79 6.65 162 1017.2 17.3 15.3 999.0 99.0 99.00
2014 05 14 09 50 352 6.3 6.9 0.99 12.12 6.99 169 1016.4 17.4 15.1 999.0 99.0 99.00
2014 05 14 10 50 352 5.1 5.8 0.95 16.00 7.00 204 1016.0 17.7 15.0 999.0 99.0 99.00
2014 05 14 11 50 347 3.9 4.3 0.86 13.79 6.94 160 1015.5 16.9 14.7 999.0 99.0 99.00
2014 05 14 12 50 11 3.4 4.0 0.88 13.79 7.39 166 1015.5 16.4 14.9 999.0 99.0 99.00
2014 05 14 13 50 19 3.1 3.7 0.94 16.00 7.20 148 1015.9 16.5 14.7 999.0 99.0 99.00
2014 05 14 14 50 28 2.9 3.6 0.97 13.79 7.84 171 1016.3 16.6 14.7 999.0 99.0 99.00
2014 05 14 15 50 26 2.5 3.1 0.95 13.79 7.47 166 1016.6 17.4 14.9 999.0 99.0 99.00
2014 05 14 16 50 40 2.0 2.4 0.82 12.90 6.92 158 1016.9 17.6 15.5 999.0 99.0 99.00
2014 05 14 17 50 44 2.6 3.0 1.03 16.00 7.59 181 1017.2 17.9 16.1 999.0 99.0 99.00
2014 05 14 18 50 36 3.0 3.6 1.05 16.00 7.70 169 1017.1 19.1 16.7 999.0 99.0 99.00
2014 05 14 19 50 13 2.0 2.5 0.96 11.43 7.34 186 1016.7 19.4 17.3 999.0 99.0 99.00
2014 05 14 20 50 1 4.1 4.7 0.87 14.81 7.37 182 1016.5 19.2 17.2 999.0 99.0 99.00
2014 05 14 21 50 340 3.8 4.3 1.06 12.90 8.35 182 1016.2 19.0 17.7 999.0 99.0 99.00
2014 05 14 22 50 338 2.9 3.6 0.87 13.79 7.78 181 1015.7 19.0 17.0 999.0 99.0 99.00
